Coin,5m,15m,30m,1h,2h,4h,12h,1d,5m_zone,5m_divergence,15m_zone,15m_divergence,30m_zone,30m_divergence,1h_zone,1h_divergence,2h_zone,2h_divergence,4h_zone,4h_divergence,12h_zone,12h_divergence,1d_zone,1d_divergence
BTCUSDT,20.8,33.1,39.7,42.0,41.4,43.0,56.1,57.2,Красная зона,Зона бычьего дивера,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Зеленая зона,Боковик/Слабый тренд,Зеленая зона,Боковик/Слабый тренд
ETHUSDT,25.8,26.9,30.5,31.7,35.2,38.7,48.2,49.8,Красная зона,Зона бычьего дивера,Красная зона,Зона бычьего дивера,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд
BNBUSDT,25.0,30.1,37.4,40.4,40.6,42.2,52.9,51.6,Красная зона,Зона бычьего дивера,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Бежевая зона,Боковик/Слабый тренд,Бежевая зона,Боковик/Слабый тренд
NEOUSDT,32.5,35.4,44.2,48.3,48.2,48.4,53.4,52.1,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Бежевая зона,Боковик/Слабый тренд,Бежевая зона,Боковик/Слабый тренд
LTCUSDT,26.6,36.5,41.6,47.4,48.6,48.2,52.2,51.3,Красная зона,Зона бычьего дивера,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Бежевая зона,Боковик/Слабый тренд,Бежевая зона,Боковик/Слабый тренд
QTUMUSDT,28.5,31.9,41.0,44.5,42.9,43.9,51.4,50.7,Красная зона,Зона бычьего дивера,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Бежевая зона,Боковик/Слабый тренд,Бежевая зона,Боковик/Слабый тренд
ADAUSDT,23.1,32.5,38.0,39.5,38.1,37.2,44.8,47.4,Красная зона,Зона бычьего дивера,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд
XRPUSDT,34.7,42.1,48.9,54.3,57.1,58.2,64.1,67.6,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Бежевая зона,Боковик/Слабый тренд,Зеленая зона,Боковик/Слабый тренд,Зеленая зона,Боковик/Слабый тренд,Зеленая зона,Боковик/Слабый тренд,Зеленая зона,Боковик/Слабый тренд
EOSUSDT,39.4,47.5,56.0,57.7,56.5,54.3,56.5,52.9,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Зеленая зона,Боковик/Слабый тренд,Зеленая зона,Боковик/Слабый тренд,Зеленая зона,Боковик/Слабый тренд,Бежевая зона,Боковик/Слабый тренд,Зеленая зона,Боковик/Слабый тренд,Бежевая зона,Боковик/Слабый тренд
IOTAUSDT,33.8,38.2,43.1,44.8,44.3,43.8,48.6,46.8,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд
XLMUSDT,35.1,40.6,48.3,52.0,51.7,49.5,53.7,56.7,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Бежевая зона,Боковик/Слабый тренд,Бежевая зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Бежевая зона,Боковик/Слабый тренд,Зеленая зона,Боковик/Слабый тренд
ONTUSDT,29.4,33.4,42.5,44.9,43.5,43.4,49.8,47.4,Красная зона,Зона бычьего дивера,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд
TRXUSDT,41.0,43.7,48.4,52.5,53.6,52.8,53.2,59.3,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Бежевая зона,Боковик/Слабый тренд,Бежевая зона,Боковик/Слабый тренд,Бежевая зона,Боковик/Слабый тренд,Бежевая зона,Боковик/Слабый тренд,Зеленая зона,Боковик/Слабый тренд
ETCUSDT,21.0,25.6,27.9,32.5,36.1,38.9,48.3,48.0,Красная зона,Зона бычьего дивера,Красная зона,Зона бычьего дивера,Красная зона,Зона бычьего дивера,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд
ICXUSDT,30.9,40.5,44.7,45.2,42.6,40.6,48.4,47.9,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд
VETUSDT,25.3,31.1,36.9,37.5,35.4,32.7,42.1,47.1,Красная зона,Зона бычьего дивера,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд
LINKUSDT,30.6,34.2,40.0,41.2,40.8,38.7,48.2,47.4,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд
ONGUSDT,30.7,31.6,40.1,43.5,45.5,46.1,50.8,50.8,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Бежевая зона,Боковик/Слабый тренд,Бежевая зона,Боковик/Слабый тренд
HOTUSDT,27.2,31.0,36.5,38.3,36.1,35.9,43.1,42.3,Красная зона,Зона бычьего дивера,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд
ZILUSDT,29.0,35.9,43.3,45.0,43.4,41.6,47.9,46.8,Красная зона,Зона бычьего дивера,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд
ZRXUSDT,30.3,43.0,47.7,48.7,47.7,48.5,55.7,52.2,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Зеленая зона,Боковик/Слабый тренд,Бежевая зона,Боковик/Слабый тренд
FETUSDT,30.0,36.5,40.3,35.2,27.3,28.2,40.3,41.3,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Зона бычьего дивера,Красная зона,Зона бычьего дивера,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд
BATUSDT,35.0,38.8,45.4,49.0,48.7,47.9,51.1,50.6,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Бежевая зона,Боковик/Слабый тренд,Бежевая зона,Боковик/Слабый тренд
ZECUSDT,57.0,55.3,53.1,48.5,47.6,45.9,57.0,62.0,Зеленая зона,Боковик/Слабый тренд,Зеленая зона,Боковик/Слабый тренд,Бежевая зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Зеленая зона,Боковик/Слабый тренд,Зеленая зона,Боковик/Слабый тренд
IOSTUSDT,28.9,38.2,46.0,47.6,45.6,42.7,46.2,44.0,Красная зона,Зона бычьего дивера,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд
CELRUSDT,30.1,36.3,40.5,42.3,40.8,39.2,44.4,38.9,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд
DASHUSDT,27.7,33.9,40.5,43.9,44.2,43.6,49.9,52.8,Красная зона,Зона бычьего дивера,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Бежевая зона,Боковик/Слабый тренд
THETAUSDT,31.4,40.3,47.0,48.2,44.1,42.6,48.2,46.6,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд
ENJUSDT,25.4,31.4,41.3,42.9,40.1,39.7,46.8,44.8,Красная зона,Зона бычьего дивера,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд
MATICUSDT,25.2,30.8,37.7,40.6,42.8,44.1,47.9,45.0,Красная зона,Зона бычьего дивера,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд
ATOMUSDT,26.6,31.3,37.5,39.2,39.2,38.9,43.7,40.7,Красная зона,Зона бычьего дивера,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд
ONEUSDT,21.7,27.1,32.2,32.6,32.1,33.9,43.1,41.9,Красная зона,Зона бычьего дивера,Красная зона,Зона бычьего дивера,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд
FTMUSDT,25.3,29.3,35.0,35.4,35.2,35.0,43.1,41.7,Красная зона,Зона бычьего дивера,Красная зона,Зона бычьего дивера,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд
ALGOUSDT,28.7,36.0,40.6,39.6,35.6,31.0,40.5,43.7,Красная зона,Зона бычьего дивера,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд
DOGEUSDT,27.4,31.2,37.0,37.7,38.6,43.7,54.5,54.0,Красная зона,Зона бычьего дивера,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Бежевая зона,Боковик/Слабый тренд,Бежевая зона,Боковик/Слабый тренд
DUSKUSDT,29.1,34.0,34.9,33.1,29.6,28.5,36.2,35.7,Красная зона,Зона бычьего дивера,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Зона бычьего дивера,Красная зона,Зона бычьего дивера,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд
ANKRUSDT,29.7,36.2,42.9,45.2,44.6,44.0,51.3,49.2,Красная зона,Зона бычьего дивера,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Бежевая зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд
MTLUSDT,33.8,36.2,42.4,43.9,39.5,38.1,46.8,44.4,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд
DENTUSDT,25.2,36.1,43.7,44.3,43.3,43.4,49.3,46.0,Красная зона,Зона бычьего дивера,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд
KEYUSDT,31.1,39.4,44.6,44.9,38.1,37.7,44.4,43.1,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд
CHZUSDT,37.3,40.9,45.8,46.1,44.2,41.1,46.4,40.3,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд
BANDUSDT,24.6,35.0,41.9,44.8,45.8,48.9,58.3,57.1,Красная зона,Зона бычьего дивера,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Зеленая зона,Боковик/Слабый тренд,Зеленая зона,Боковик/Слабый тренд
XTZUSDT,24.1,30.6,37.8,40.2,39.5,35.6,40.8,41.6,Красная зона,Зона бычьего дивера,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд
RENUSDT,29.4,34.4,38.7,40.8,38.4,39.0,49.0,47.1,Красная зона,Зона бычьего дивера,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд
RVNUSDT,31.4,34.3,39.0,39.7,38.7,38.8,46.5,43.9,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд
HBARUSDT,32.5,32.3,39.3,39.6,37.7,32.3,39.0,38.3,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд
NKNUSDT,41.7,44.7,46.9,45.8,42.6,38.9,45.0,43.2,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд
STXUSDT,22.3,33.4,39.7,42.6,40.4,38.3,47.5,48.9,Красная зона,Зона бычьего дивера,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд
KAVAUSDT,28.2,33.9,37.9,40.8,40.6,40.4,45.2,40.5,Красная зона,Зона бычьего дивера,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд
ARPAUSDT,30.2,37.1,42.8,42.0,38.2,36.3,43.0,38.8,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд
IOTXUSDT,28.9,39.8,43.4,41.4,40.6,34.2,50.4,51.0,Красная зона,Зона бычьего дивера,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Бежевая зона,Боковик/Слабый тренд,Бежевая зона,Боковик/Слабый тренд
RLCUSDT,35.5,36.3,41.3,38.4,33.6,31.1,38.4,37.9,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд
BCHUSDT,26.4,31.2,36.2,38.1,37.2,34.9,42.9,44.0,Красная зона,Зона бычьего дивера,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд
OGNUSDT,28.2,37.4,44.2,46.5,45.4,44.3,49.0,44.9,Красная зона,Зона бычьего дивера,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд
LSKUSDT,31.1,36.7,44.0,45.9,44.0,42.1,49.4,48.1,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд
BNTUSDT,27.9,30.2,36.8,38.5,37.8,38.4,47.5,46.9,Красная зона,Зона бычьего дивера,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд
COTIUSDT,29.9,36.7,41.7,46.6,51.0,55.6,61.5,58.5,Красная зона,Зона бычьего дивера,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Бежевая зона,Боковик/Слабый тренд,Зеленая зона,Боковик/Слабый тренд,Зеленая зона,Боковик/Слабый тренд,Зеленая зона,Боковик/Слабый тренд
SOLUSDT,31.5,44.3,50.4,52.3,53.0,57.0,65.1,62.6,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Бежевая зона,Боковик/Слабый тренд,Бежевая зона,Боковик/Слабый тренд,Бежевая зона,Боковик/Слабый тренд,Зеленая зона,Боковик/Слабый тренд,Зеленая зона,Боковик/Слабый тренд,Зеленая зона,Боковик/Слабый тренд
CTSIUSDT,24.0,29.0,33.0,33.2,33.4,32.9,42.3,40.6,Красная зона,Зона бычьего дивера,Красная зона,Зона бычьего дивера,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд
CHRUSDT,35.5,44.7,49.1,47.2,38.5,36.0,41.6,42.1,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд
STMXUSDT,29.6,47.4,57.1,65.0,70.9,83.1,89.2,81.1,Красная зона,Зона бычьего дивера,Красная зона,Боковик/Слабый тренд,Зеленая зона,Боковик/Слабый тренд,Зеленая зона,Боковик/Слабый тренд,Зеленая зона,Зона медвежьего дивера,Зеленая зона,Зона медвежьего дивера,Зеленая зона,Зона медвежьего дивера,Зеленая зона,Зона медвежьего дивера
KNCUSDT,39.2,46.0,52.1,53.4,49.8,45.4,49.2,49.1,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Бежевая зона,Боковик/Слабый тренд,Бежевая зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд
LRCUSDT,28.2,32.4,37.5,37.8,34.7,37.9,44.4,41.9,Красная зона,Зона бычьего дивера,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд
COMPUSDT,34.0,41.4,42.4,41.9,42.2,40.5,44.8,45.9,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд
ZENUSDT,51.0,55.4,56.6,54.9,47.8,43.1,52.5,57.3,Бежевая зона,Боковик/Слабый тренд,Зеленая зона,Боковик/Слабый тренд,Зеленая зона,Боковик/Слабый тренд,Бежевая зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Бежевая зона,Боковик/Слабый тренд,Зеленая зона,Боковик/Слабый тренд
SNXUSDT,25.0,29.6,34.2,35.8,34.4,34.2,39.2,39.7,Красная зона,Зона бычьего дивера,Красная зона,Зона бычьего дивера,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд
SXPUSDT,22.6,30.4,39.0,42.0,42.2,41.8,49.6,48.4,Красная зона,Зона бычьего дивера,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд
MKRUSDT,27.0,29.8,35.3,37.8,40.8,39.7,46.6,50.9,Красная зона,Зона бычьего дивера,Красная зона,Зона бычьего дивера,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Бежевая зона,Боковик/Слабый тренд
STORJUSDT,26.2,30.2,38.4,40.1,38.7,37.9,47.4,47.5,Красная зона,Зона бычьего дивера,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд
MANAUSDT,26.5,36.3,43.1,45.1,42.3,39.5,45.4,45.2,Красная зона,Зона бычьего дивера,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд
YFIUSDT,35.1,39.0,44.5,44.4,43.4,40.1,42.3,42.4,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд,Красная зона,Боковик/Слабый тренд
